"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US12031000101","Census Tract 1.01; Duval County; Florida","2858","854","1519","780","1234","305","19","28","0","15","0","15","0","15","86","89","67","85","19","30",
"1400000US12031000102","Census Tract 1.02; Duval County; Florida","2448","635","1178","566","1110","396","9","14","83","101","0","15","51","83","17","32","0","15","17","32",
"1400000US12031000200","Census Tract 2; Duval County; Florida","2490","423","204","118","2071","394","0","15","0","15","0","15","0","15","215","195","0","15","215","195",
"1400000US12031000300","Census Tract 3; Duval County; Florida","1860","317","360","159","1311","291","0","15","0","15","0","15","54","56","135","136","0","15","135","136",
"1400000US12031000600","Census Tract 6; Duval County; Florida","5483","865","2424","634","1578","613","0","21","354","306","0","21","459","414","668","491","182","107","486","498",
"1400000US12031000700","Census Tract 7; Duval County; Florida","4437","717","3341","502","350","167","54","68","571","539","0","15","0","15","121","92","93","88","28","29",
"1400000US12031000800","Census Tract 8; Duval County; Florida","3083","419","2394","382","362","206","0","15","162","120","0","15","41","47","124","83","62","67","62","50",
"1400000US12031001000","Census Tract 10; Duval County; Florida","3999","174","1344","318","2313","427","0","15","17","22","0","15","30","24","295","154","180","98","115","83",
"1400000US12031001100","Census Tract 11; Duval County; Florida","2205","447","1293","389","593","207","24","26","87","51","0","15","17","24","191","103","26","19","165","99",
"1400000US12031001200","Census Tract 12; Duval County; Florida","2103","399","1249","361","657","227","0","15","35","39","0","15","38","38","124","77","105","77","19","17",
"1400000US12031001300","Census Tract 13; Duval County; Florida","3688","764","204","103","3258","753","0","15","0","15","0","15","0","15","226","139","50","64","176","134",
"1400000US12031001401","Census Tract 14.01; Duval County; Florida","2863","636","517","117","2164","641","0","15","0","15","0","15","0","15","182","153","5","9","177","151",
"1400000US12031001402","Census Tract 14.02; Duval County; Florida","2022","565","254","147","1427","518","0","15","0","15","0","15","0","15","341","361","170","257","171","274",
"1400000US12031001500","Census Tract 15; Duval County; Florida","3207","685","158","109","3028","690","0","15","21","37","0","15","0","15","0","15","0","15","0","15",
"1400000US12031001600","Census Tract 16; Duval County; Florida","2016","345","66","57","1759","367","0","15","0","15","0","15","149","141","42","39","9","13","33","36",
"1400000US12031002101","Census Tract 21.01; Duval County; Florida","3354","706","2270","378","516","444","0","15","253","200","0","15","28","36","287","198","79","84","208","179",
"1400000US12031002102","Census Tract 21.02; Duval County; Florida","2032","250","1830","241","39","31","0","15","7","13","0","15","44","38","112","92","47","65","65","63",
"1400000US12031002200","Census Tract 22; Duval County; Florida","4930","543","4385","524","62","57","0","15","30","38","0","15","50","51","403","236","233","140","170","196",
"1400000US12031002300","Census Tract 23; Duval County; Florida","2007","234","1901","238","23","28","0","15","10","18","0","15","40","42","33","29","23","28","10","9",
"1400000US12031002400","Census Tract 24; Duval County; Florida","1983","241","1816","227","6","5","0","15","16","24","0","15","10","15","135","91","109","81","26","42",
"1400000US12031002501","Census Tract 25.01; Duval County; Florida","3853","414","2241","396","1166","311","9","15","6","13","0","15","10","16","421","261","245","249","176","136",
"1400000US12031002502","Census Tract 25.02; Duval County; Florida","3604","514","2929","495","197","79","10","10","109","82","0","15","177","150","182","118","23","28","159","118",
"1400000US12031002600","Census Tract 26; Duval County; Florida","3682","783","555","282","2938","705","18","43","11","19","0","15","89","74","71","71","40","43","31","47",
"1400000US12031002701","Census Tract 27.01; Duval County; Florida","3435","564","287","149","2818","595","3","6","0","15","0","15","216","169","111","92","35","67","76","71",
"1400000US12031002702","Census Tract 27.02; Duval County; Florida","4522","959","702","173","3434","946","0","15","0","15","0","15","64","146","322","248","77","95","245","225",
"1400000US12031002801","Census Tract 28.01; Duval County; Florida","4349","649","282","338","4034","633","0","15","0","15","0","15","33","52","0","15","0","15","0","15",
"1400000US12031002802","Census Tract 28.02; Duval County; Florida","5376","1166","328","118","4452","1207","0","21","50","53","0","21","264","361","282","199","67","66","215","185",
"1400000US12031002901","Census Tract 29.01; Duval County; Florida","3358","510","484","249","2725","444","0","15","0","15","0","15","129","125","20","31","0","15","20","31",
"1400000US12031002902","Census Tract 29.02; Duval County; Florida","4282","1011","565","387","3504","984","0","15","15","32","0","15","2","6","196","227","155","220","41","71",
"1400000US12031010101","Census Tract 101.01; Duval County; Florida","10451","1034","5330","760","2729","631","56","50","378","356","8","14","879","616","1071","416","506","269","565","308",
"1400000US12031010104","Census Tract 101.04; Duval County; Florida","6631","994","4189","722","1293","606","52","61","177","171","0","21","298","318","622","372","413","276","209","259",
"1400000US12031010105","Census Tract 101.05; Duval County; Florida","2581","269","1798","242","368","129","7","13","79","98","0","15","135","177","194","171","38","70","156","151",
"1400000US12031010106","Census Tract 101.06; Duval County; Florida","5929","732","3720","576","1830","284","0","21","41","64","20","34","89","113","229","186","130","147","99","118",
"1400000US12031010107","Census Tract 101.07; Duval County; Florida","5747","1244","4540","968","459","443","0","21","369","293","0","21","0","21","379","245","218","191","161","192",
"1400000US12031010202","Census Tract 102.02; Duval County; Florida","3260","496","2230","389","518","383","8","13","10","16","0","15","128","179","366","203","240","188","126","102",
"1400000US12031010203","Census Tract 102.03; Duval County; Florida","8102","1657","4619","1598","1749","470","0","21","275","223","0","21","246","187","1213","774","528","440","685","479",
"1400000US12031010204","Census Tract 102.04; Duval County; Florida","4404","530","2499","616","1078","275","0","15","142","160","0","15","88","89","597","333","344","259","253","189",
"1400000US12031010301","Census Tract 103.01; Duval County; Florida","8334","1001","4048","1036","3024","1021","0","21","280","376","0","21","598","420","384","223","55","59","329","211",
"1400000US12031010305","Census Tract 103.05; Duval County; Florida","7438","2296","1068","371","5395","2262","20","34","0","21","0","21","566","511","389","257","60","65","329","251",
"1400000US12031010306","Census Tract 103.06; Duval County; Florida","1451","311","506","332","873","163","0","15","0","15","0","15","33","57","39","50","35","49","4","7",
"1400000US12031010307","Census Tract 103.07; Duval County; Florida","2300","521","184","134","1944","566","0","15","0","15","0","15","98","156","74","106","0","15","74","106",
"1400000US12031010308","Census Tract 103.08; Duval County; Florida","5527","843","444","154","4614","781","0","21","0","21","0","21","0","21","469","487","325","409","144","186",
"1400000US12031010401","Census Tract 104.01; Duval County; Florida","3211","417","1056","206","1913","340","0","15","32","60","0","15","64","100","146","154","11","16","135","153",
"1400000US12031010402","Census Tract 104.02; Duval County; Florida","4700","1411","1639","605","2539","1279","12","19","98","117","0","15","191","151","221","194","123","168","98","102",
"1400000US12031010501","Census Tract 105.01; Duval County; Florida","5895","1081","948","508","4664","1211","17","30","0","21","10","22","140","196","116","121","28","52","88","121",
"1400000US12031010502","Census Tract 105.02; Duval County; Florida","4057","597","1954","520","1440","486","0","15","13","26","0","15","243","272","407","367","254","244","153","209",
"1400000US12031010503","Census Tract 105.03; Duval County; Florida","7129","1863","1403","598","5378","1791","0","21","21","38","0","21","22","43","305","338","178","259","127","202",
"1400000US12031010601","Census Tract 106.01; Duval County; Florida","5341","958","2993","697","2260","993","0","21","9","14","0","21","67","66","12","19","0","21","12","19",
"1400000US12031010602","Census Tract 106.02; Duval County; Florida","3517","1324","2801","1322","245","177","0","15","243","280","25","43","0","15","203","127","102","109","101","80",
"1400000US12031010700","Census Tract 107; Duval County; Florida","4583","867","259","271","4299","873","0","15","0","15","0","15","25","41","0","15","0","15","0","15",
"1400000US12031010800","Census Tract 108; Duval County; Florida","5422","896","385","146","4873","915","0","21","0","21","0","21","16","26","148","144","73","101","75","102",
"1400000US12031010900","Census Tract 109; Duval County; Florida","3652","616","177","96","3098","487","58","92","4","6","19","31","219","301","77","82","0","15","77","82",
"1400000US12031011000","Census Tract 110; Duval County; Florida","3387","611","660","223","2341","567","0","15","2","8","0","15","170","154","214","203","147","197","67","50",
"1400000US12031011100","Census Tract 111; Duval County; Florida","3113","618","524","187","2526","613","0","15","0","15","0","15","0","15","63","52","19","29","44","43",
"1400000US12031011200","Census Tract 112; Duval County; Florida","2596","534","83","56","2427","521","0","15","0","15","0","15","0","15","86","87","64","81","22","35",
"1400000US12031011300","Census Tract 113; Duval County; Florida","3300","641","205","190","2895","654","0","15","0","15","0","15","0","15","200","122","0","15","200","122",
"1400000US12031011400","Census Tract 114; Duval County; Florida","2018","541","70","38","1856","535","28","35","0","15","0","15","26","39","38","37","7","10","31","36",
"1400000US12031011500","Census Tract 115; Duval County; Florida","4048","844","335","296","3507","844","0","15","25","42","0","15","6","10","175","185","156","185","19","22",
"1400000US12031011600","Census Tract 116; Duval County; Florida","4482","862","133","123","4236","909","0","15","0","15","0","15","0","15","113","115","68","103","45","60",
"1400000US12031011700","Census Tract 117; Duval County; Florida","3203","723","1685","467","1137","517","0","15","0","15","0","15","80","116","301","375","251","378","50","40",
"1400000US12031011800","Census Tract 118; Duval County; Florida","3203","567","1568","532","1290","379","19","22","30","35","0","15","50","45","246","287","195","283","51","43",
"1400000US12031011901","Census Tract 119.01; Duval County; Florida","7760","1555","4358","701","1591","1074","0","21","316","383","0","21","151","132","1344","886","1044","782","300","373",
"1400000US12031011903","Census Tract 119.03; Duval County; Florida","5269","765","3589","757","1252","359","44","63","137","96","0","21","23","27","224","141","93","101","131","94",
"1400000US12031011904","Census Tract 119.04; Duval County; Florida","4220","404","1825","417","1641","428","0","15","207","161","0","15","409","379","138","139","61","106","77","85",
"1400000US12031011905","Census Tract 119.05; Duval County; Florida","6340","1082","3169","710","2128","644","4","29","222","92","168","211","1","3","648","347","350","290","298","218",
"1400000US12031012000","Census Tract 120; Duval County; Florida","5801","872","3119","616","1546","668","0","21","376","396","0","21","120","166","640","345","142","149","498","267",
"1400000US12031012100","Census Tract 121; Duval County; Florida","1914","372","985","388","695","231","0","15","28","26","0","15","172","129","34","33","1","7","33","33",
"1400000US12031012201","Census Tract 122.01; Duval County; Florida","3109","797","1550","346","1048","615","0","15","222","245","0","15","150","230","139","221","0","15","139","221",
"1400000US12031012202","Census Tract 122.02; Duval County; Florida","4781","685","2157","568","1690","429","0","15","258","273","0","15","417","249","259","197","120","170","139","100",
