geo,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Total:_size,Family households:,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household,Nonfamily households:,1-person household,2-person household.1,3-person household.1,4-person household.1,5-person household.1,6-person household.1,7-or-more person household.1,Total:_veh,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available,1-person household:,No vehicle available.1,1 vehicle available.1,2 vehicles available.1,3 vehicles available.1,4 or more vehicles available.1,2-person household:,No vehicle available.2,1 vehicle available.2,2 vehicles available.2,3 vehicles available.2,4 or more vehicles available.2,3-person household:,No vehicle available.3,1 vehicle available.3,2 vehicles available.3,3 vehicles available.3,4 or more vehicles available.3,4-or-more-person household:,No vehicle available.4,1 vehicle available.4,2 vehicles available.4,3 vehicles available.4,4 or more vehicles available.4,Total:_snap,Household received Food Stamps/SNAP in the past 12 months:,Households with 1 or more persons with a disability,Households with no persons with a disability,Household did not receive Food Stamps/SNAP in the past 12 months:,Households with 1 or more persons with a disability.1,Households with no persons with a disability.1,Less_than_25k,25k_to_50k,50k_plus,tract_raw,tract_display
"Census Tract 172, Duval County, Florida: Summary level: 140, state:12> county:031> tract:017200",1190,206,96,103,98,32,23,32,62,55,77,36,165,74,54,42,35,1190,287,167,66,32,20,2,0,903,855,40,0,8,0,0,0,1190,279,779,116,8,8,855,202,631,14,0,8,207,28,95,84,0,0,66,17,23,18,8,0,62,32,30,0,0,0,1190,285,180,105,905,167,738,0.4226890756302521,0.1714285714285714,0.4058823529411764,017200,172
"Census Tract 174, Duval County, Florida: Summary level: 140, state:12> county:031> tract:017400",863,185,73,43,105,84,44,64,50,16,73,28,72,26,0,0,0,863,523,191,163,68,34,12,55,340,282,58,0,0,0,0,0,863,309,309,157,73,15,282,101,122,30,22,7,249,123,91,35,0,0,163,35,44,47,29,8,169,50,52,45,22,0,863,396,188,208,467,113,354,0.4704519119351101,0.2989571263035921,0.2305909617612977,017400,174
"Census Tract 29.01, Duval County, Florida: Summary level: 140, state:12> county:031> tract:002901",1212,149,154,133,149,58,101,83,30,29,35,84,69,63,38,0,37,1212,754,281,115,178,88,52,40,458,413,37,0,8,0,0,0,1212,254,577,253,116,12,413,150,207,33,23,0,318,53,174,84,7,0,115,0,39,65,11,0,366,51,157,71,75,12,1212,597,223,374,615,126,489,0.4826732673267326,0.2483498349834983,0.2689768976897689,002901,29.01
"Census Tract 29.02, Duval County, Florida: Summary level: 140, state:12> county:031> tract:002902",1257,287,125,44,181,55,88,47,67,48,125,71,110,9,0,0,0,1257,603,173,200,80,90,60,0,654,569,53,7,24,1,0,0,1257,370,499,319,62,7,569,256,233,71,9,0,226,2,115,99,3,7,207,51,48,58,50,0,255,61,103,91,0,0,1257,520,162,358,737,234,503,0.5067621320604614,0.2426412092283214,0.2505966587112171,002902,29.02
"Census Tract 111, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011100",1227,147,69,128,165,78,63,55,91,81,95,41,125,26,36,18,9,1227,772,283,286,160,27,16,0,455,406,49,0,0,0,0,0,1227,82,584,408,135,18,406,72,264,60,10,0,332,0,150,134,30,18,286,10,66,133,77,0,203,0,104,81,18,0,1227,292,75,217,935,146,789,0.4148329258353708,0.2999185004074979,0.2852485737571312,011100,111
"Census Tract 113, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011300",1125,180,123,61,124,50,84,77,16,68,86,67,73,43,40,7,26,1125,647,217,198,156,39,0,37,478,411,67,0,0,0,0,0,1125,229,552,202,124,18,411,110,295,0,6,0,284,40,119,77,38,10,198,23,66,46,63,0,232,56,72,79,17,8,1125,393,111,282,732,194,538,0.4337777777777777,0.2622222222222222,0.304,011300,113
"Census Tract 12, Duval County, Florida: Summary level: 140, state:12> county:031> tract:001200",777,153,29,43,23,39,58,47,46,29,28,68,84,76,8,8,38,777,358,180,99,58,17,0,4,419,325,64,0,4,14,12,0,777,175,316,229,54,3,325,113,198,14,0,0,244,49,51,108,33,3,99,9,47,31,12,0,109,4,20,76,9,0,777,180,101,79,597,175,422,0.3191763191763191,0.2818532818532818,0.398970398970399,001200,12
"Census Tract 13, Duval County, Florida: Summary level: 140, state:12> county:031> tract:001300",1598,349,213,84,144,80,141,66,64,83,133,44,74,80,10,27,6,1598,785,286,207,163,97,3,29,813,734,62,17,0,0,0,0,1598,655,720,168,29,26,734,413,314,7,0,0,348,124,144,55,15,10,224,48,107,69,0,0,292,70,155,37,14,16,1598,894,488,406,704,167,537,0.4943679599499374,0.2715894868585732,0.2340425531914893,001300,13
"Census Tract 15, Duval County, Florida: Summary level: 140, state:12> county:031> tract:001500",1654,328,250,162,168,120,132,52,65,54,160,58,74,23,8,0,0,1654,1047,452,249,208,102,16,20,607,564,43,0,0,0,0,0,1654,553,812,253,24,12,564,222,324,18,0,0,495,230,186,71,8,0,249,48,136,45,8,12,346,53,166,119,8,0,1654,756,327,429,898,271,627,0.5489721886336155,0.2557436517533252,0.1952841596130592,001500,15
"Census Tract 114, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011400",835,94,77,47,144,48,26,49,55,48,115,53,52,7,0,15,5,835,483,215,106,89,26,32,15,352,314,38,0,0,0,0,0,835,77,419,251,60,28,314,66,199,49,0,0,253,11,112,93,37,0,106,0,46,56,4,0,162,0,62,53,19,28,835,321,125,196,514,219,295,0.4335329341317365,0.2706586826347305,0.2958083832335329,011400,114
"Census Tract 116, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011600",1484,225,182,143,175,126,74,33,89,73,108,79,45,92,0,25,15,1484,771,355,176,140,53,47,0,713,627,60,0,0,26,0,0,1484,353,753,317,61,0,627,187,411,29,0,0,415,104,213,85,13,0,176,25,59,58,34,0,266,37,70,145,14,0,1484,484,125,359,1000,347,653,0.488544474393531,0.2661725067385445,0.2452830188679245,011600,116
"Census Tract 109, Duval County, Florida: Summary level: 140, state:12> county:031> tract:010900",1511,114,96,97,33,150,114,75,129,37,160,123,261,35,13,65,9,1511,904,525,243,64,49,23,0,607,574,33,0,0,0,0,0,1511,144,747,399,177,44,574,135,332,52,29,26,558,0,287,193,68,10,243,0,111,86,46,0,136,9,17,68,34,8,1511,250,102,148,1261,522,739,0.2250165453342157,0.3342157511581733,0.4407677035076108,010900,109
"Census Tract 21.01, Duval County, Florida: Summary level: 140, state:12> county:031> tract:002101",1630,78,111,15,122,15,112,71,172,39,90,165,158,182,99,114,87,1630,692,381,177,77,39,0,18,938,791,147,0,0,0,0,0,1630,136,843,581,37,33,791,117,642,25,7,0,528,8,118,388,0,14,177,0,42,113,22,0,134,11,41,55,8,19,1630,97,38,59,1533,206,1327,0.2,0.250920245398773,0.549079754601227,002101,21.01
"Census Tract 21.02, Duval County, Florida: Summary level: 140, state:12> county:031> tract:002102",1194,61,9,7,30,114,24,102,34,36,75,72,217,81,37,62,233,1194,574,311,128,58,65,0,12,620,469,151,0,0,0,0,0,1194,75,590,405,63,61,469,48,413,0,8,0,462,27,157,261,17,0,128,0,9,81,0,38,135,0,11,63,38,23,1194,71,35,36,1123,212,911,0.0896147403685092,0.2596314907872696,0.6507537688442211,002102,21.02
