alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,pantry_usage,delivery_usage,error
1.6,0.6,1.0,0.4,5.5,7.0,14.0,9768.193998850891,9769.369765403788,13266.163561849542,0.0481283422459893,2.66456905374295,1.9829152443938032,0.0,0.66,0.5984738706866424
1.6,0.6,0.8,0.4,5.5,7.0,14.0,9796.439565526483,9185.663736681856,13303.834551518465,0.05913978494623656,2.647061860480178,1.9875515374684414,0.0,0.68,0.6116942389590863
1.6,0.8,1.0,0.4,5.5,7.0,14.0,9698.481785533408,9301.298633963568,13730.66203242901,0.03934871099050204,2.6938426157135984,2.0134391223292902,0.0,0.68,0.6150182292015719
1.6,0.7,1.0,0.4,5.5,7.0,14.0,9768.402473578637,9742.170587805249,14153.036399290968,0.03830911492734478,2.722674398162591,2.0018588017842505,0.0,0.64,0.6205212708803897
1.6,0.7,1.2,0.4,5.5,7.0,14.0,9992.572856825624,9276.405882141826,13831.690918697666,0.03614457831325301,2.7137738307798296,1.9600872825791935,0.0,0.66,0.6208463393581045
1.2,0.8,0.8,0.4,5.5,7.0,14.0,10098.348332005355,9572.594659247845,13290.259888991473,0.037283621837549935,2.7414626070639105,1.9374879602151347,0.0,0.66,0.6249592810671717
1.6,0.8,0.8,0.4,5.5,7.0,14.0,9815.00424974125,9175.128816153456,13081.935335592914,0.0642570281124498,2.649664854289245,1.975565924511644,0.0,0.64,0.6263074200721063
1.6,0.7,0.8,0.4,5.5,7.0,14.0,9546.932695484818,9288.137879974516,13464.317874313227,0.06873315363881402,2.6462993457554376,1.9925083028966086,0.0,0.7,0.6335326084151381
1.6,0.6,1.2,0.4,5.5,7.0,14.0,9940.176030443394,10105.830473202037,13332.176294058858,0.03439153439153439,2.7512415081105983,1.960468636873876,0.0,0.66,0.6409113812926525
1.2,0.7,0.8,0.4,5.5,7.0,14.0,9842.210361251655,10041.444284110794,13714.945604858696,0.030463576158940398,2.7474335841961017,1.9712985141436943,0.0,0.7,0.6472737775519176
1.2,0.6,0.8,0.4,5.5,7.0,14.0,9920.338425421647,9583.423498476242,13844.497206245882,0.029451137884872823,2.7559819614328323,2.0392247040969402,0.0,0.66,0.6558215635331545
1.6,0.8,1.2,0.4,5.5,7.0,14.0,10251.372862594008,9293.198681044501,13591.96857882904,0.025435073627844713,2.7777046653407695,1.9931886714224998,0.0,0.66,0.6649846447577518
1.2,0.6,1.0,0.4,5.5,7.0,14.0,9931.412211919791,9590.225895616613,13458.28203976958,0.021621621621621623,2.783093271023556,1.9872061229777924,0.0,0.66,0.6718526065033369
0.8,0.6,0.8,0.4,5.5,7.0,14.0,10323.505723187103,9572.829848286603,14719.608877925431,0.018494055482166448,2.7868084426825375,1.9613444601194083,0.0,0.66,0.67581214589657
1.2,0.8,1.0,0.4,5.5,7.0,14.0,10279.489527134498,9766.126812758415,13226.63853336385,0.0199468085106383,2.7854320044713017,1.9631847269395897,0.0,0.66,0.6864548587608049
1.2,0.8,1.2,0.4,5.5,7.0,14.0,10018.501326297874,9459.511371503007,14414.831162498978,0.013422818791946308,2.7958638547314876,1.984505551189255,0.0,0.66,0.6867044102097007
1.2,0.7,1.0,0.4,5.5,7.0,14.0,10222.10394954207,9837.852875809735,13702.651105739924,0.019867549668874173,2.762865477631761,1.9954874778601628,0.0,0.66,0.6886208423847338
0.8,0.8,0.8,0.4,5.5,7.0,14.0,10371.121382854863,9582.396282538066,14424.506432035143,0.017173051519154558,2.8082658810814705,1.9934004485821804,0.0,0.66,0.6886751398328974
1.2,0.7,1.2,0.4,5.5,7.0,14.0,10277.012954579797,9589.57516368777,14356.162873810983,0.015957446808510637,2.7914427384406633,1.9841532792906578,0.0,0.62,0.6890743672516911
1.2,0.6,1.2,0.4,5.5,7.0,14.0,10347.015622120678,9535.600621746273,13961.891341221,0.014686248331108143,2.776730316705848,1.9692278279969666,0.0,0.66,0.694774890828952
0.8,0.7,0.8,0.4,5.5,7.0,14.0,10153.013873017657,9575.601717612011,13967.038585132432,0.010825439783491205,2.796828974127554,2.000947997175585,0.0,0.68,0.706287551376084
0.8,0.8,1.2,0.4,5.5,7.0,14.0,10205.893956367334,9581.920577756557,14335.37877578086,0.013280212483399735,2.8289182893590645,2.109715773619199,0.0,0.68,0.7162994644150659
0.8,0.6,1.0,0.4,5.5,7.0,14.0,10199.491359729709,9702.077561074511,14391.285734351175,0.012,2.785714552473547,2.109776756219213,0.0,0.68,0.7223565880391826
0.8,0.6,1.2,0.4,5.5,7.0,14.0,10257.048164048629,10001.756169551745,13895.851953397885,0.011968085106382979,2.7885105367594685,2.055689407659834,0.0,0.68,0.7232020620826113
0.8,0.7,1.2,0.4,5.5,7.0,14.0,10244.951881633688,9612.180395995629,14545.103059311947,0.0066844919786096255,2.790056845336269,2.0751238329731283,0.0,0.68,0.7297522979029384
0.8,0.8,1.0,0.4,5.5,7.0,14.0,10200.415066867079,9926.589376738795,13659.340326089732,0.008064516129032258,2.8007918333115174,2.0618553763692122,0.0,0.7,0.7343971216418073
0.8,0.7,1.0,0.4,5.5,7.0,14.0,10142.332051461995,9567.172229307156,14081.491345340706,0.006756756756756757,2.820784155262998,2.110350463648116,0.0,0.68,0.7354410934233874
