alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,pantry_usage,delivery_usage,error
1.6,0.8,0.8,0.4,5.5,7.0,14.0,9860.811240290644,9004.100430099203,13251.926859468571,0.05547850208044383,2.6776841484235057,2.018625936292517,0.0,0.58,1.1296207372452016
1.6,0.8,1.0,0.4,5.5,7.0,14.0,9882.056036278418,9193.034212262895,12546.481995095093,0.03551136363636364,2.75900574435755,1.9842336673757734,0.0,0.58,1.153243005423856
1.6,0.6,1.0,0.4,5.5,7.0,14.0,10375.503731154946,9096.007971220773,13258.543193100495,0.048209366391184574,2.7155450464978577,2.002546013815407,0.0,0.62,1.1804516907834977
1.6,0.6,0.8,0.4,5.5,7.0,14.0,9505.337059605856,8964.821032642174,12424.961080654459,0.07212205270457697,2.6768233265918417,1.9831679117425038,0.0,0.6,1.1884952062934038
1.2,0.7,0.8,0.4,5.5,7.0,14.0,10140.072894397274,9315.572139469436,13249.294576160057,0.03185595567867036,2.7782835426872663,1.9927406227104556,0.0,0.6,1.1909206325352868
1.6,0.7,0.8,0.4,5.5,7.0,14.0,10414.558572902824,8629.275815434392,13308.127432629171,0.06397774687065369,2.688741790251396,2.0203998877396705,0.0,0.6,1.1933931682160723
1.2,0.7,1.0,0.4,5.5,7.0,14.0,10329.701548004077,9121.41503393459,13004.513432638212,0.02086230876216968,2.786967152750354,1.982523505251333,0.0,0.58,1.1952040473100287
1.6,0.7,1.0,0.4,5.5,7.0,14.0,9772.385915297094,9177.522153507682,13074.366982888834,0.035961272475795295,2.743640890749423,2.0107736311635915,0.0,0.62,1.1999178487476385
1.2,0.6,1.2,0.4,5.5,7.0,14.0,10331.455459015833,8944.148168783746,13765.758922604662,0.012711864406779662,2.8317780460934143,1.9880398358506268,0.0,0.58,1.2086488549783536
1.6,0.7,1.2,0.4,5.5,7.0,14.0,10245.822766718411,9122.50411738773,13056.123223035267,0.025034770514603615,2.7740112107563446,2.0115901143444543,0.0,0.6,1.2122573033202924
1.2,0.8,1.0,0.4,5.5,7.0,14.0,10489.62438468382,9144.608430610586,13315.064956902146,0.015235457063711912,2.8249387786126543,2.0101500120677027,0.0,0.58,1.214552269353099
0.8,0.8,0.8,0.4,5.5,7.0,14.0,9840.7031334858,9134.590936627357,13934.688078099696,0.015256588072122053,2.8021133970062913,1.9784278504019364,0.0,0.6,1.2149908197370083
1.2,0.6,0.8,0.4,5.5,7.0,14.0,10209.504850056346,9149.909540936571,12836.614436570117,0.033287101248266296,2.7700317983693887,2.012027413812606,0.0,0.62,1.217920306422814
1.6,0.6,1.2,0.4,5.5,7.0,14.0,9777.730980410905,9502.380386315004,13237.596497534847,0.02912621359223301,2.749576561401144,2.004191376978013,0.0,0.62,1.2192856951654187
1.2,0.8,0.8,0.4,5.5,7.0,14.0,9833.919874499697,9445.432978539156,13744.86776455924,0.025956284153005466,2.794626904548805,1.9902527921252477,0.0,0.62,1.2208172637315795
0.8,0.6,0.8,0.4,5.5,7.0,14.0,10513.377017877247,8962.17263824875,13693.402462774735,0.013966480446927373,2.818835033625116,2.0104929360044403,0.0,0.6,1.238906403288133
1.6,0.8,1.2,0.4,5.5,7.0,14.0,9816.36274379798,8974.915897697483,13620.972320295805,0.02092050209205021,2.804601861148874,2.027435983644394,0.0,0.64,1.2583338798311434
1.2,0.7,1.2,0.4,5.5,7.0,14.0,9979.40946012915,9348.768814248115,13456.934081732637,0.011126564673157162,2.8019639438663537,1.9913737166870646,0.0,0.62,1.262120380015026
1.2,0.8,1.2,0.4,5.5,7.0,14.0,9947.371800761553,9158.875582424169,14343.17940339764,0.0110803324099723,2.824979401290909,2.0044899676479133,0.0,0.64,1.2788445771473216
1.2,0.6,1.0,0.4,5.5,7.0,14.0,9956.99773781724,9116.14889697375,12887.778090703898,0.014005602240896359,2.8044150367009824,2.0040909976712444,0.0,0.64,1.2822743414287605
0.8,0.8,1.2,0.4,5.5,7.0,14.0,10013.09943928204,9026.32064148154,14176.363490160431,0.005547850208044383,2.860899263177903,2.107644410687113,0.0,0.62,1.2839181181620096
0.8,0.7,0.8,0.4,5.5,7.0,14.0,10005.103046669672,9328.11594795105,13847.35752016995,0.009695290858725761,2.8194514700531204,2.0364243737196905,0.0,0.64,1.2947903907048242
0.8,0.6,1.2,0.4,5.5,7.0,14.0,9995.447535014959,9011.220091219231,14398.243497579104,0.006944444444444444,2.864153614708012,2.0960245430499933,0.0,0.64,1.3012770123060609
0.8,0.7,1.2,0.4,5.5,7.0,14.0,10053.164058394956,8924.581461429185,14046.318269349224,0.004189944134078212,2.8523811688237757,2.1018598877131702,0.0,0.64,1.313885123439727
0.8,0.6,1.0,0.4,5.5,7.0,14.0,10583.97196040744,9353.072050754305,13531.875429608663,0.0013869625520110957,2.8320183558385916,2.104090800237583,0.0,0.62,1.317230456368095
0.8,0.7,1.0,0.4,5.5,7.0,14.0,10023.328299655463,9405.035532225602,13732.566939263643,0.004160887656033287,2.845685410428038,2.0904331676264536,0.0,0.64,1.318814724943899
0.8,0.8,1.0,0.4,5.5,7.0,14.0,10369.503611074637,8950.10220340617,14228.21916967673,0.0013966480446927375,2.8328121952604186,2.107211780928279,0.0,0.64,1.3279514135933326
