config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.4241873763171548,3641.8701272981734,9789.955222270144,25164.94681040746,0.015895953757225433,2.37539702389282,0.9978746809371816,692
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.45598547348343765,2728.3444689869607,9283.38917407554,26502.14361696627,0.014778325123152709,2.3592093994334293,0.9834625197062881,609
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.46063364114973876,2610.0362731399814,9742.86281927684,25675.68824337004,0.014900662251655629,2.357801054132779,0.9867433042495148,604
4,1.5,0.7,1.5,0.4,4.0,7.0,14.0,0.4614428951513309,3649.553702353975,9372.176383889251,28029.620871508734,0.0057553956834532375,2.3875743088400485,1.000803809434771,695
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.4802661075092543,2712.3217391035146,9266.824706406527,27907.78205370346,0.006578947368421052,2.413719012338091,0.9751078092702986,608
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.4834146353250277,2561.939128017733,9558.019147555478,27236.678457013248,0.00667779632721202,2.435166702116497,0.9770736234905315,599
7,1.5,0.7,2.0,0.4,4.0,7.0,14.0,0.4525419223151604,3685.8493879409407,9732.385858701236,26633.232091886544,0.005763688760806916,2.411975873219708,1.0008038094347715,694
8,1.5,0.7,2.0,0.4,5.5,7.0,14.0,0.47908357383121286,2718.101831451445,9891.822147053137,26232.373309855084,0.004901960784313725,2.439080847652268,0.9837987774018545,612
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.4870499835310318,2549.4646562538474,9492.018007970772,27347.43831272307,0.0050335570469798654,2.460771277192569,0.9837987774018545,596
10,1.5,0.7,2.5,0.4,4.0,7.0,14.0,0.45912507957434423,3702.24534598729,9630.72687219198,27384.07867036305,0.004285714285714286,2.400231741182474,0.9950786946440279,700
11,1.5,0.7,2.5,0.4,5.5,7.0,14.0,0.46164584834736216,2777.656026234152,9507.393415867615,26124.823148108415,0.008210180623973728,2.4598060683274356,0.9777461388816635,609
12,1.5,0.7,2.5,0.4,7.0,7.0,14.0,0.46423265580466305,2630.8639819117684,9373.288875052704,25817.240664515044,0.006688963210702341,2.444151286912042,0.9799942617605918,598
13,1.5,1.0,1.0,0.4,4.0,7.0,14.0,0.42346169391986055,3663.1680957226945,9565.323368109039,25290.431706283038,0.01447178002894356,2.3585954369349365,0.9978746809371816,691
