config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
1,1.0,0.5,0.6,0.4,3.0,6.0,14.0,0.1352627542075019,4178.049741988694,4250.460125800533,11571.17517772231,0.35402339456743603,0.385,0.5726513843094154,2.593437722033557,0.588028506224815,1955.0
2,1.0,0.5,0.6,0.4,3.0,7.0,14.0,0.14483042462725762,4182.257171821918,4053.0621764031057,11719.676643230192,0.34980830501475596,0.38,0.5742121265749757,2.6011474977278564,0.5856869059833208,1922.5
3,1.0,0.5,0.6,0.4,3.0,8.0,14.0,0.1483353231724206,4216.88193416798,4048.166958286346,11562.846504347825,0.3546467351383116,0.385,0.5688020126688387,2.594466362926023,0.582449329842549,1924.5
4,1.0,0.5,0.6,0.4,4.0,6.0,14.0,0.13037673541334321,3479.5309164322275,4194.320064584079,11616.429582772325,0.3396812589332264,0.385,0.5938957911424954,2.619805593496731,0.5823220866149628,1679.5
5,1.0,0.5,0.6,0.4,4.0,7.0,14.0,0.1377066728307615,3549.886231623162,4082.5334212431485,11952.461414691548,0.32944507866743983,0.385,0.5948708495386783,2.638447983296569,0.580393183488426,1660.5
6,1.0,0.5,0.6,0.4,4.0,8.0,14.0,0.12840157938203117,3559.446671828515,4078.380917716323,11497.689917762924,0.3443677444713528,0.385,0.5977410841564341,2.617128389818049,0.5822924510438912,1662.0
7,1.0,0.5,0.6,0.4,5.0,6.0,14.0,0.16107662731616176,3135.837667003221,4170.8680374946925,11608.036518322615,0.32279023490091807,0.38,0.6056796193685008,2.669272371625227,0.5789157202206143,1538.5
8,1.0,0.5,0.6,0.4,5.0,7.0,14.0,0.1642396838049978,3149.450651432045,4143.8733610485,11620.228774413681,0.3247243440659555,0.385,0.6056379341559202,2.6726582876018483,0.5774631749011243,1516.5
9,1.0,0.5,0.6,0.4,5.0,8.0,14.0,0.17226207313331568,3107.7229237380784,4050.653464945599,11541.569723429948,0.32435465990973156,0.385,0.6157925761694865,2.6683114867797686,0.5757160105415225,1508.5
10,1.0,0.5,0.6,0.4,6.0,6.0,14.0,0.18612587028042646,2849.702210696064,4173.591654433241,11652.737420339514,0.3192452053009638,0.385,0.6207988152830726,2.6817545360181283,0.5785658333129757,1464.0
