config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
1,1.0,0.5,0.6,0.4,3.0,6.0,14.0,0.36635853002381835,3737.8804157048407,7465.068906925144,14122.881802206077,0.04943276497618286,2.822543098904864,0.5876975175541741,1889.5
2,1.0,0.5,0.6,0.4,3.0,7.0,14.0,0.3687409590373556,3749.7415709202733,7379.636608074963,14161.542915028938,0.044675968532493476,2.824637297546654,0.5951687082573083,1877.5
3,1.0,0.5,0.6,0.4,3.0,8.0,14.0,0.3617570129465424,3733.6484822579932,7285.5921807426985,14648.432701041907,0.04621298196484684,2.8425901537000535,0.6090847023654378,1876.5
4,1.0,0.5,0.6,0.4,4.0,6.0,14.0,0.3901602737612089,3023.8752442062632,7388.6626387636425,14142.056208842361,0.04496909545525336,2.8070270202292784,0.6036131815216785,1641.0
5,1.0,0.5,0.6,0.4,4.0,7.0,14.0,0.395726526283049,3033.4551134750354,7361.474841770525,14103.374641630695,0.04245872962450503,2.8301409763546452,0.5844173304515214,1628.0
6,1.0,0.5,0.6,0.4,4.0,8.0,14.0,0.39073314275493704,3058.9830206542993,7308.888565829035,14195.086363614446,0.04914642510068927,2.8186692321394258,0.5851289873554839,1627.0
7,1.0,0.5,0.6,0.4,5.0,6.0,14.0,0.40408538903759883,2548.1537727245022,7425.60632292828,14245.553856946022,0.048505623657272845,2.7971925640448196,0.5905133142292185,1489.5
8,1.0,0.5,0.6,0.4,5.0,7.0,14.0,0.4074670758525532,2545.4116221020986,7336.451353178185,14187.16405923216,0.0409827015090173,2.8222797789356306,0.6058572314647639,1475.0
9,1.0,0.5,0.6,0.4,5.0,8.0,14.0,0.4081694977111859,2542.0096508000524,7226.671731431973,14306.404608555304,0.046739849201604775,2.8069160041690586,0.590917932627411,1465.0
10,1.0,0.5,0.6,0.4,6.0,6.0,14.0,0.41028673652489345,2314.21815176023,7465.899595338891,14251.659917403926,0.048567404722249435,2.8097497378015244,0.5901973338078933,1429.5
11,1.0,0.5,0.6,0.4,6.0,7.0,14.0,0.41227959252558916,2322.0395742686856,7295.945546432741,14305.548805987295,0.04567501857775193,2.8000063843954566,0.6026696550910307,1408.0
12,1.0,0.5,0.6,0.4,6.0,8.0,14.0,0.41128271797055466,2320.4136925040443,7381.053777720785,14354.138004369455,0.04957206058616123,2.8085648754523653,0.5841551664375517,1416.5
13,1.0,0.5,0.6,0.4,7.0,6.0,14.0,0.4155957846729285,2230.1142707110025,7404.895339937681,14192.597270709304,0.04374819415979628,2.7960504507531536,0.6029893620935677,1390.5
14,1.0,0.5,0.6,0.4,7.0,7.0,14.0,0.4152432863240134,2196.907174779695,7408.172539829464,14197.400534683162,0.04616347704488461,2.8154197410489865,0.5986804566951738,1379.0
15,1.0,0.5,0.6,0.4,7.0,8.0,14.0,0.41550665343141996,2233.5522287193307,7222.296649556408,14306.788335201087,0.041351130248501344,2.8536291537178524,0.6132006280641378,1366.5
16,1.0,0.5,1.0,0.4,3.0,6.0,14.0,0.3746381794429137,3746.028287940677,7508.691491010207,14573.555790952712,0.023823465362629553,2.863241562071749,0.5977752746963854,1895.0
17,1.0,0.5,1.0,0.4,3.0,7.0,14.0,0.37994168590957456,3800.1649444153663,7390.599898393273,14202.286008284349,0.021198047840935867,2.8935220788500127,0.5961909704652523,1871.5
18,1.0,0.5,1.0,0.4,3.0,8.0,14.0,0.37790610301518696,3769.049437744954,7362.3399102654585,14352.43327537283,0.02416148410437294,2.897196243040886,0.59609681716811,1875.5
19,1.0,0.5,1.0,0.4,4.0,6.0,14.0,0.397195507291591,3046.775401637734,7508.821658825698,14645.625724090747,0.02521644703591916,2.8852501628649962,0.5840429825824831,1661.0
20,1.0,0.5,1.0,0.4,4.0,7.0,14.0,0.40803529211327555,3035.886639457717,7370.917612154236,14162.57440697457,0.019787300271746914,2.9134426356088063,0.5819913398913711,1619.0
21,1.0,0.5,1.0,0.4,4.0,8.0,14.0,0.4051982133684698,3080.030576152871,7306.088189546826,14241.835422065851,0.022809288190467465,2.8848281534683884,0.5853961891828177,1619.5
22,1.0,0.5,1.0,0.4,5.0,6.0,14.0,0.4141839073560287,2559.941274314733,7458.686526257647,14129.659057206365,0.024730373432795577,2.8554063756476995,0.6105391331063761,1492.5
23,1.0,0.5,1.0,0.4,5.0,7.0,14.0,0.41597246273305816,2589.102299959505,7428.25694023071,14224.534843294603,0.024897777822155878,2.884499218848555,0.5911006977616919,1485.0
24,1.0,0.5,1.0,0.4,5.0,8.0,14.0,0.4193317335005308,2534.084810232277,7251.41302218193,14230.41756865974,0.02428049186703661,2.863768784897485,0.603660155697207,1467.5
25,1.0,0.5,1.0,0.4,6.0,6.0,14.0,0.4238735796481281,2335.2478390824017,7392.658113828591,14384.193242023694,0.025169942323796643,2.8650138320493577,0.5890566950355731,1427.0
26,1.0,0.5,1.0,0.4,6.0,7.0,14.0,0.4277179146991446,2325.8694502854705,7385.7334180328735,13991.216844704413,0.02396781257340294,2.871835943356425,0.59400025596636,1408.0
27,1.0,0.5,1.0,0.4,6.0,8.0,14.0,0.42548190564578525,2313.2655357145472,7350.157471628474,13995.918199877404,0.025702919230745726,2.8681611431591483,0.6045492733504474,1402.0
