alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,pantry_usage,delivery_usage,error
2.0,0.7,1.2,0.4,5.5,7.0,14.0,9652.78404792232,9334.194734782961,13114.224444529129,0.04613297150610583,2.679287829059042,1.9645045354021038,0.0,0.66,0.8316956257857294
2.0,0.8,1.2,0.4,5.5,7.0,14.0,9693.718828250388,9297.810689879854,13790.941263878802,0.04716981132075472,2.688367798748598,2.0054336501799632,0.0,0.66,0.8399946663531684
2.0,0.6,1.2,0.4,5.5,7.0,14.0,9839.10215856184,9269.806410978468,13507.833237342304,0.05585106382978723,2.6937370993338434,1.9793643802277947,0.0,0.66,0.855030003734953
2.0,0.7,1.0,0.4,5.5,7.0,14.0,9608.261597530507,9427.252119693663,13606.745667168561,0.06417112299465241,2.658704116339454,1.984404168004238,0.0,0.66,0.8741309173607527
2.0,0.8,0.8,0.4,5.5,7.0,14.0,9527.78967153543,9064.94709681711,12691.055475283196,0.07366984993178717,2.648231154882746,1.9360546358872444,0.0,0.66,0.875547719692729
2.0,0.8,1.0,0.4,5.5,7.0,14.0,9686.783817487933,8882.6217484649,13999.976675027963,0.06729475100942127,2.6560367094278163,2.004911479799856,0.0,0.66,0.8791654303759143
2.5,0.7,1.2,0.4,5.5,7.0,14.0,9660.73365784165,9597.018313436503,12321.425706034111,0.0703851261620186,2.6545568266962065,1.9062896993655511,0.0,0.7,0.8862020772187758
2.5,0.8,1.0,0.4,5.5,7.0,14.0,9574.035248992539,9659.506673411728,12828.050189560247,0.07104557640750671,2.656215494584903,1.929811441509411,0.0,0.68,0.8919781727991379
3.0,0.6,1.2,0.4,5.5,7.0,14.0,9543.861342069396,9526.243008260299,12860.295968204036,0.07476635514018691,2.656441203809933,1.9473472080281058,0.0,0.62,0.8971577012648195
2.5,0.6,1.0,0.4,5.5,7.0,14.0,9623.750450547697,9147.789428971308,12887.148677144933,0.07785234899328859,2.6368377902370406,1.9652861315671946,0.0,0.68,0.9003785951522757
2.5,0.8,1.2,0.4,5.5,7.0,14.0,9785.936601508776,9594.288313917948,12884.984604773312,0.07047872340425532,2.655510424224773,1.9462981029239284,0.0,0.68,0.9024361960501617
3.0,0.8,1.2,0.4,5.5,7.0,14.0,9514.672391515825,9381.672734803014,13671.863981669174,0.07476635514018691,2.635673154735904,1.95084880350024,0.0,0.66,0.9061083489706712
2.0,0.7,0.8,0.4,5.5,7.0,14.0,9556.703937841661,9530.927960984645,13121.206307641627,0.0758988015978695,2.6440076208265544,1.9133007897787424,0.0,0.66,0.9100720235025591
3.0,0.7,1.2,0.4,5.5,7.0,14.0,9689.4881508111,9287.242715422839,12885.866048544858,0.07856191744340879,2.6469037494474916,1.9702814130639725,0.0,0.68,0.91107993082561
2.0,0.6,0.8,0.4,5.5,7.0,14.0,9550.857732643251,9632.207065454075,13421.88740107086,0.07446808510638298,2.6326278737310758,1.9271527413363494,0.0,0.66,0.9129752839712566
2.0,0.6,1.0,0.4,5.5,7.0,14.0,9786.977876849007,9570.646085865803,12620.771413040526,0.07804232804232804,2.6383588668533777,1.9368579126433692,0.0,0.62,0.9231851869018118
2.5,0.7,1.0,0.4,5.5,7.0,14.0,9683.093367606221,9587.149141633725,12855.89894978688,0.07835325365205843,2.638390206943114,1.9207789693555453,0.0,0.64,0.9233286290583358
2.5,0.6,1.2,0.4,5.5,7.0,14.0,9717.363622172888,9227.104821767954,12855.096063063378,0.08255659121171771,2.602604628913532,1.9443286232874555,0.0,0.66,0.9271196525744698
3.0,0.7,1.0,0.4,5.5,7.0,14.0,9431.829597076452,9042.671128810645,12737.735031967226,0.0955585464333782,2.611972952166571,1.9544768600142934,0.0,0.68,0.9414107686460845
3.0,0.8,1.0,0.4,5.5,7.0,14.0,9677.86324077801,8876.095053848814,13254.920422072735,0.09574468085106383,2.6062947166669352,1.932607354300039,0.0,0.64,0.9655411420794072
2.5,0.8,0.8,0.4,5.5,7.0,14.0,9722.73762576657,9043.58231103568,12993.672796150047,0.0953020134228188,2.6017991953558353,1.9460183926981096,0.0,0.66,0.9665998535816195
3.0,0.8,0.8,0.4,5.5,7.0,14.0,9242.30722291678,8960.095593190103,13220.119564155959,0.11214953271028037,2.5592789238414793,1.9163539062280994,0.0,0.64,0.9945702409020596
2.5,0.6,0.8,0.4,5.5,7.0,14.0,9491.20246719365,9080.633957582353,12809.640180951868,0.10947930574098798,2.6159768286171348,1.9131451945692162,0.0,0.66,0.997856654882153
2.5,0.7,0.8,0.4,5.5,7.0,14.0,9632.347637387598,8710.315848765422,13711.433774527053,0.10860927152317881,2.5809009386180577,1.9353004742498598,0.0,0.66,1.0090216512074053
3.0,0.7,0.8,0.4,5.5,7.0,14.0,9144.916804202416,9292.425089203043,12717.044855603042,0.12101063829787234,2.5653579098627914,1.910930013118073,0.0,0.64,1.0187638119860354
3.0,0.6,1.0,0.4,5.5,7.0,14.0,9497.362778272212,9067.067101756058,12765.98928118087,0.11553784860557768,2.5983186816220716,1.8900871497335812,0.0,0.66,1.019592317171541
3.0,0.6,0.8,0.4,5.5,7.0,14.0,9276.298217228508,8985.784511223967,12900.450326116354,0.12962962962962962,2.5580238813078955,1.9017392526592831,0.0,0.68,1.0512168058524594
