config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
38,2.0,0.7,1.0,0.4,5.5,7.0,14.0,0.5352975962775033,9203.808008876373,9595.661577606164,11778.156869465582,0.05928892450959115,2.497741966145701,1.7126246098457187,10907.0
39,2.0,0.7,1.0,0.4,7.0,7.0,14.0,0.5361675603695205,8753.911277616628,9555.670942142116,11660.217922495644,0.05210729597407429,2.510779326214532,1.7271234848402648,10594.0
37,2.0,0.7,1.0,0.4,4.0,7.0,14.0,0.5608762640909762,12033.803994543987,9610.015101285879,11633.377195505027,0.0914316229772411,2.444961080834902,1.6497454413357409,12678.666666666666
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5761920725585431,8851.240931736887,9770.04696457755,11629.372176670875,0.033970859584971494,2.5537908640073828,1.7450956781391695,10593.333333333334
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.5823376249072963,9362.101420665138,9766.009862125698,11675.694222951095,0.03831689283982822,2.544777963326202,1.733502735567851,10895.0
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.5839336052049353,8886.754339687033,9821.646242682715,11816.839765202008,0.029450765409583496,2.5609834003174377,1.7459966738862638,10598.333333333334
27,1.5,1.3,1.0,0.4,7.0,7.0,14.0,0.5911836006734822,8930.075000392977,9838.287452198309,11694.669671390244,0.026430074013275306,2.572445683227844,1.7445012227894285,10598.0
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.595797252392244,9429.988672787054,9829.104581514275,11636.597857208128,0.03315449279966926,2.556009436666318,1.740718862492666,10882.666666666666
26,1.5,1.3,1.0,0.4,5.5,7.0,14.0,0.6052127956692984,9476.354659165116,9875.14541433293,11597.58651818127,0.02887241997686456,2.5688993559369213,1.7405713190337746,10885.0
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6242159314180337,8975.856588684364,10033.231518653678,11886.20036792961,0.011551257447641607,2.6205408637191585,1.7756710372732643,10604.333333333334
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6282026433662687,9009.865254054126,10058.6610893956,11760.16451936223,0.010384151522397923,2.623358665451993,1.7725480618312115,10607.666666666666
30,1.5,1.3,1.5,0.4,7.0,7.0,14.0,0.6297345459172242,8975.222241835056,10089.168469876053,11776.394074507267,0.010111171956064197,2.6243714840639587,1.7811431564558389,10603.0
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.6393118676181019,9010.093535369115,10118.898080229541,11911.312011203912,0.005312365320321705,2.6425513811384063,1.7897638315533035,10596.333333333334
33,1.5,1.3,2.0,0.4,7.0,7.0,14.0,0.639860933256719,9031.926751489402,10099.846135575897,11834.14972055238,0.0055691520303502995,2.645200492496313,1.789598844559393,10603.666666666666
21,1.5,1.0,2.0,0.4,7.0,7.0,14.0,0.6401486910288874,9008.306042733007,10098.453333332089,11747.448386460617,0.005316694920434953,2.645984573469917,1.7886815684182071,10585.333333333334
36,1.5,1.3,2.5,0.4,7.0,7.0,14.0,0.6422574831532062,9050.437625731698,10130.532054395686,11920.453554208661,0.004231816613504957,2.654290011929143,1.7902417289281523,10615.666666666666
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.6424344037289077,12512.309950974935,9793.992577604875,11669.71873483593,0.058051074617435576,2.511912887442723,1.696873990977811,12692.666666666666
12,1.5,0.7,2.5,0.4,7.0,7.0,14.0,0.643106299624121,9089.844819063763,10070.088970373194,11782.122523117987,0.004842777465306773,2.6544280088668666,1.7921382160529513,10597.0
24,1.5,1.0,2.5,0.4,7.0,7.0,14.0,0.643627641407147,9062.975633190488,10110.243774129425,11774.019429158725,0.004660449512701718,2.655132377202943,1.7933877452500837,10594.333333333334
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.6441466728780344,9573.938236822994,10049.333881132978,11784.692819122612,0.01167871733904217,2.6210880588306384,1.775951824016465,10900.666666666666
17,1.5,1.0,1.5,0.4,5.5,7.0,14.0,0.6450795271917587,9568.461187539797,10068.67382151397,11760.884292836985,0.011828771398516387,2.621097483118224,1.7796185208964233,10905.333333333334
