alpha_distance,gamma_quality,threshold_low,total_error,annual_spend_low,annual_spend_low_std,annual_spend_medium,annual_spend_medium_std,annual_spend_high,annual_spend_high_std,weekly_share,weekly_share_std,subweekly_share,subweekly_share_std,distance_car_mi,distance_car_mi_std,distance_no_car_mi,distance_no_car_mi_std,small_store_share,small_store_share_std,pantry_user_share,pantry_user_share_std,error_spend_low,error_spend_medium,error_spend_high,error_weekly_freq,error_subweekly_freq,error_distance_car,error_distance_no_car,error_small_store,pass_spend_low,pass_spend_medium,pass_spend_high,pass_weekly_freq,pass_subweekly_freq,pass_distance_car,pass_distance_no_car,pass_small_store,all_pass
1.0,0.6,3.0,3.238908603158514,4315.323883285494,0.0,9190.708400049876,0.0,24197.687501889548,0.0,0.3611111111111111,0.0,0.5833333333333334,0.0,1.8565086240957056,0.0,0.6609430698936936,0.0,0.10349127182044887,0.0,0.26,0.0,0.18115296332343567,0.022439470469448906,0.42372837737641494,0.0972222222222223,1.6515151515151518,0.4539680517365572,0.33905693010630644,0.06982543640897731,False,True,False,True,False,False,False,True,False
1.0,0.6,2.5,3.2660275086362685,4269.274347157474,0.0,9171.683718932296,0.0,25270.005554138195,0.0,0.3611111111111111,0.0,0.5833333333333334,0.0,1.8620301693672736,0.0,0.6623154342844502,0.0,0.09697732997481108,0.0,0.22,0.0,0.1898910157196444,0.02032303025167382,0.48682075512698253,0.0972222222222223,1.6515151515151518,0.4523440678331548,0.33768456571554983,0.030226700251889255,False,True,False,True,False,False,False,True,False
1.0,0.8,2.0,3.4540360647595354,6761.789941728336,0.0,9538.357414479644,0.0,25083.86653605944,0.0,0.4166666666666667,0.0,0.5833333333333334,0.0,1.897528118379936,0.0,0.6685779540353073,0.0,0.08325266214908035,0.0,0.26,0.0,0.28307209520461785,0.06111440810764756,0.4758688241974252,0.04166666666666666,1.6515151515151518,0.44190349459413647,0.3314220459646927,0.16747337850919655,False,True,False,True,False,False,False,True,False
0.8,0.4,2.5,3.4548455639888584,4336.246432458303,0.0,9433.55592181797,0.0,23829.91321562403,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.8549161636489249,0.0,0.6623154342844502,0.0,0.1044776119402985,0.0,0.28,0.0,0.1771828401407394,0.04945554809411165,0.4020895043318446,0.16666666666666677,1.7777777777777781,0.45443642245619853,0.33768456571554983,0.08955223880596996,False,True,False,True,False,False,False,True,False
1.2,0.8,3.0,3.45721653226405,4370.705991097111,0.0,9259.292922082037,0.0,24193.594515399214,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.8716514541558835,0.0,0.6609430698936936,0.0,0.09,0.0,0.24,0.0,0.17064402445975121,0.03006929826254722,0.42348755680155414,0.16666666666666677,1.7777777777777781,0.449514278189446,0.33905693010630644,0.10000000000000009,False,True,False,True,False,False,False,True,False
1.2,0.8,2.5,3.5186138707560275,4338.499190897314,0.0,9584.215938517942,0.0,24764.141890365147,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.8783715328451303,0.0,0.6609430698936936,0.0,0.09124537607891492,0.0,0.3,0.0,0.17675537174624018,0.06621603498920259,0.45705706580166783,0.16666666666666677,1.7777777777777781,0.4475377844573146,0.33905693010630644,0.08754623921085086,False,True,False,True,False,False,False,True,False
1.2,0.6,3.0,3.5893964623546517,4205.1679011343185,0.0,9342.365999531154,0.0,23970.448749802097,0.0,0.3611111111111111,0.0,0.5833333333333334,0.0,1.8298193143973274,0.0,0.6609430698936936,0.0,0.11940298507462686,0.0,0.28,0.0,0.20205542672973084,0.03931093553578303,0.4103582460462519,0.0972222222222223,1.6515151515151518,0.4618178487066684,0.33905693010630644,0.38805970149253716,False,True,False,True,False,False,False,True,False
1.0,0.8,2.5,3.605859824219356,4507.865076234752,0.0,9100.586096447501,0.0,24270.585852887936,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.9071822273248478,0.0,0.6609430698936936,0.0,0.07017543859649122,0.0,0.28,0.0,0.1446176325930261,0.012413627372066015,0.42801752488161543,0.16666666666666677,1.7777777777777781,0.4390640507868095,0.33905693010630644,0.2982456140350878,True,True,False,True,False,False,False,True,False
0.8,0.4,3.0,3.7022848417982233,4251.278584742027,0.0,9585.720886717341,0.0,24536.720204286154,0.0,0.3055555555555556,0.0,0.6388888888888888,0.0,1.852883104493653,0.0,0.6609430698936936,0.0,0.10323383084577115,0.0,0.28,0.0,0.19330577139619975,0.06638345608158208,0.44367617111591867,0.2361111111111111,1.904040404040404,0.4550343810312785,0.33905693010630644,0.06467661691542281,False,True,False,True,False,False,False,True,False
0.8,0.6,2.5,3.7082640517648113,4537.393237922618,0.0,9396.019738602106,0.0,24655.917737967622,0.0,0.3611111111111111,0.0,0.5833333333333334,0.0,1.9562485333368187,0.0,0.6609430698936936,0.0,0.043914680050188205,0.0,0.3,0.0,0.13901456585908575,0.04527975732585453,0.450689440925372,0.0972222222222223,1.6515151515151518,0.42463278431270035,0.33905693010630644,0.560853199498118,True,True,False,True,False,False,False,False,False
0.8,0.6,2.0,3.710962036091484,6869.450791208765,0.0,9467.92707637968,0.0,24603.82368710383,0.0,0.3888888888888889,0.0,0.6111111111111112,0.0,1.9058181234817304,0.0,0.6698588274666801,0.0,0.06686046511627906,0.0,0.26,0.0,0.3035010989010939,0.053279238667224324,0.4476243637975895,0.027777777777777818,1.7777777777777781,0.439465257799491,0.33014117253331987,0.3313953488372094,False,True,False,True,False,False,False,True,False
