parameter,output,r,ci_low,ci_high,p_value
alpha_distance,avg_spend_low,0.006773946609536986,-0.024954374414350118,0.03701127631251132,0.6647203996397548
alpha_distance,avg_spend_med,0.02149316337162443,-0.009042434789369416,0.051072715142610414,0.1690380024192274
alpha_distance,avg_spend_high,0.027256650012288136,-0.0013464063014103876,0.058697959812713835,0.08112122286815604
alpha_distance,corner_share,0.0764445224020501,0.045628253250840696,0.10818798301242044,9.675576500853764e-07
alpha_distance,food_insecurity_share,-0.02086819380237749,-0.05258260455732689,0.00923297478228263,0.18177747181398698
alpha_distance,avg_dist_car,-0.12729586937329995,-0.15724695288103813,-0.09803102461013753,2.892261869772708e-16
alpha_distance,avg_dist_nocar,-0.014250447947309706,-0.04363898653291973,0.016917883178192848,0.3618758031522897
alpha_distance,total_trips,-0.00503187572523066,-0.036950154025247955,0.025570572230917524,0.7474952768503966
beta_price_budget,avg_spend_low,0.0030489018327245843,-0.028167395567898938,0.03205565645512379,0.8453376677205233
beta_price_budget,avg_spend_med,-0.017955073767618658,-0.0477340920307137,0.012443003776312949,0.25061099529416975
beta_price_budget,avg_spend_high,0.00658639399483088,-0.02402569500067923,0.03789767621628515,0.6734592756501901
beta_price_budget,corner_share,-0.03010425309946424,-0.06184870452919111,0.0015404549602174055,0.054039383276677955
beta_price_budget,food_insecurity_share,-0.0009330057231193923,-0.032969024187424645,0.028361811202412338,0.952399227910443
beta_price_budget,avg_dist_car,0.032547424330207256,0.003103483225258775,0.0629831126272114,0.03725567256036654
beta_price_budget,avg_dist_nocar,-0.00042858662753602044,-0.02951812398258763,0.030973416980578407,0.9781238106553425
beta_price_budget,total_trips,-0.006580981833645111,-0.03658695762941913,0.02300225005347195,0.6737121137270965
gamma_quality_variety,avg_spend_low,-0.02781663166202826,-0.05847341786326714,0.00406290362651198,0.07506524526403843
gamma_quality_variety,avg_spend_med,-0.004789302069757547,-0.03530303279706425,0.025414508783960368,0.7592821909476317
gamma_quality_variety,avg_spend_high,0.03572935100207969,0.00478727646310688,0.06595725610143488,0.022212719995771294
gamma_quality_variety,corner_share,-0.10218947296234632,-0.13268348672538002,-0.07224758449719748,5.5531392739635025e-11
gamma_quality_variety,food_insecurity_share,-0.016346328161778514,-0.04591902128066803,0.015352977939547815,0.2956000160134566
gamma_quality_variety,avg_dist_car,0.03355135611119648,0.0028751203149657584,0.06447792800161038,0.03177450660817481
gamma_quality_variety,avg_dist_nocar,0.0008435214573640666,-0.029397655269937713,0.03233775786119801,0.9569599379154045
gamma_quality_variety,total_trips,-0.01667607833014886,-0.04809300021202815,0.014147631145735954,0.2859639551149395
delta_convenience,avg_spend_low,-0.00854355132054304,-0.03823632801998957,0.022321838027192977,0.5846326998384408
delta_convenience,avg_spend_med,-0.009277866310454762,-0.03987694993665874,0.021104613754602698,0.5527696560576433
delta_convenience,avg_spend_high,-0.022837581262279756,-0.05266836385948888,0.008107260889717952,0.14391950582558585
delta_convenience,corner_share,0.013956658764074793,-0.017170119406326668,0.04363827659763067,0.37185876780369376
delta_convenience,food_insecurity_share,0.009349241205612126,-0.020317148989570998,0.039098553686481886,0.5497185797529539
delta_convenience,avg_dist_car,0.04655963459202851,0.01533332700363586,0.07699720713982929,0.0028775618844038313
delta_convenience,avg_dist_nocar,-0.003247914736680369,-0.03545622841713284,0.029437483687495793,0.8353822853148547
delta_convenience,total_trips,-0.0023412648067621072,-0.03416611576062191,0.027446084512225973,0.8809260239514448
go_shop_threshold_low,avg_spend_low,-0.8439549421096566,-0.8498375026414556,-0.8380926161924456,0.0
go_shop_threshold_low,avg_spend_med,0.004505688468916306,-0.025095101809350966,0.03484449637162106,0.7731343203624427
go_shop_threshold_low,avg_spend_high,0.01433257970789248,-0.016942311091431617,0.043333215204555166,0.3591152723104889
go_shop_threshold_low,corner_share,-0.4716355262294015,-0.49428102556065,-0.44834482862782976,5.676749014624032e-226
go_shop_threshold_low,food_insecurity_share,-0.021243382895089542,-0.051682810188321,0.00886097946457287,0.1740468185384404
go_shop_threshold_low,avg_dist_car,0.3918282832946019,0.36712951857144377,0.41676728099673255,2.1070407049786676e-150
go_shop_threshold_low,avg_dist_nocar,0.013075642549914852,-0.018675922805944184,0.045712278717516784,0.4028053756305206
go_shop_threshold_low,total_trips,-0.8064693094829491,-0.8147244461488213,-0.7983534994976382,0.0
go_shop_threshold_medium,avg_spend_low,-0.008430456308759856,-0.039176390679302946,0.02301818712546943,0.5896149459000549
go_shop_threshold_medium,avg_spend_med,-0.503700383110015,-0.5258416108337198,-0.4811182189449311,1.6998219686128383e-262
go_shop_threshold_medium,avg_spend_high,0.007243697779551216,-0.021860580711831196,0.03743567449758516,0.6430337918078641
go_shop_threshold_medium,corner_share,-0.18445904054316953,-0.21321072470640745,-0.15562520523696513,1.1272584013067994e-32
go_shop_threshold_medium,food_insecurity_share,0.0023228257450316515,-0.028181989122207828,0.03170663777687073,0.8818569042301755
go_shop_threshold_medium,avg_dist_car,0.18172685759710733,0.15366995463973646,0.21112628345581363,9.5213661908523e-32
go_shop_threshold_medium,avg_dist_nocar,-0.026452390634673643,-0.056277357287599146,0.005367354397807292,0.09050640374531908
go_shop_threshold_medium,total_trips,-0.28678393426187554,-0.3130228149888068,-0.25831856947534126,2.1815321470497167e-78
go_shop_threshold_high,avg_spend_low,-0.0029437409306253687,-0.03561624105334451,0.029234608138053054,0.8506083087727967
go_shop_threshold_high,avg_spend_med,-0.003212240691807443,-0.03325041683321684,0.02654649690808076,0.8371649468942919
go_shop_threshold_high,avg_spend_high,-0.028922922946803507,-0.06048051307021536,0.00039111851722773523,0.06418548407989533
go_shop_threshold_high,corner_share,0.0048331131148899795,-0.02769423234635028,0.03574212336258348,0.7571491341491123
go_shop_threshold_high,food_insecurity_share,0.022614202062882324,-0.0057672313911786,0.054182038666077605,0.14788229741656672
go_shop_threshold_high,avg_dist_car,0.008146060313789052,-0.022084609636374937,0.0398342046954036,0.6022292778772598
go_shop_threshold_high,avg_dist_nocar,0.013578336403549836,-0.017244051975714766,0.04422821492762764,0.3849629126520569
go_shop_threshold_high,total_trips,-0.0031884134169663306,-0.03557653560941274,0.030432904953543605,0.8383560818416631
