parameter,output,prcc,p_value
alpha_distance,avg_spend_low,0.016635398899039734,0.2871410939566557
beta_price_budget,avg_spend_low,0.02674346814763672,0.08701363918644024
gamma_quality_variety,avg_spend_low,-0.04339650592808391,0.0054722017366118925
delta_convenience,avg_spend_low,-0.01262586467922143,0.419182175125336
go_shop_threshold_low,avg_spend_low,-0.8460268615740618,0.0
go_shop_threshold_medium,avg_spend_low,-0.0016140289515669919,0.917751548497128
go_shop_threshold_high,avg_spend_low,-0.014563217865302121,0.35143427295097945
alpha_distance,avg_spend_med,0.02715937040191462,0.08221262001486275
beta_price_budget,avg_spend_med,-0.013218788293269827,0.39767482351793454
gamma_quality_variety,avg_spend_med,-0.003369238264234742,0.8293260248698456
delta_convenience,avg_spend_med,-0.0130215772434762,0.4047534266240158
go_shop_threshold_low,avg_spend_med,9.537194050842062e-05,0.9951313855290694
go_shop_threshold_medium,avg_spend_med,-0.5003093753194049,1.9045298974468884e-258
go_shop_threshold_high,avg_spend_med,-0.0034845972101592015,0.8235768883211299
alpha_distance,avg_spend_high,0.025689226679748982,0.100200999142962
beta_price_budget,avg_spend_high,0.00869546339908242,0.5779713955992908
gamma_quality_variety,avg_spend_high,0.03644650195733271,0.019667093163983285
delta_convenience,avg_spend_high,-0.018374811223802752,0.23970349077351658
go_shop_threshold_low,avg_spend_high,0.014023905991380585,0.3695587700758648
go_shop_threshold_medium,avg_spend_high,0.0061533685051602,0.6938031975354244
go_shop_threshold_high,avg_spend_high,-0.02812378906019694,0.07190342509071813
alpha_distance,corner_share,0.08272114724721016,1.1477618135723439e-07
beta_price_budget,corner_share,-0.029105658528405277,0.06252023007260146
gamma_quality_variety,corner_share,-0.1103354958910536,1.4317511103361665e-12
delta_convenience,corner_share,0.021130228241373828,0.17635202985573784
go_shop_threshold_low,corner_share,-0.4724122930552178,8.214625119898063e-227
go_shop_threshold_medium,corner_share,-0.20055046779668445,1.9775566751572704e-38
go_shop_threshold_high,corner_share,0.0028961362447896357,0.8529964555471387
alpha_distance,food_insecurity_share,-0.023477874040929186,0.1330112889551041
beta_price_budget,food_insecurity_share,-0.00457905353549746,0.7695439247026031
gamma_quality_variety,food_insecurity_share,-0.0186738502593911,0.2321394587767396
delta_convenience,food_insecurity_share,0.014315698218906913,0.3596815931894389
go_shop_threshold_low,food_insecurity_share,-0.020161471471079488,0.19702584905705325
go_shop_threshold_medium,food_insecurity_share,0.0038254491282255507,0.8066462061172617
go_shop_threshold_high,food_insecurity_share,0.015870085452551114,0.3098964169595076
alpha_distance,avg_dist_car,-0.13670823810693292,1.5232255458074691e-18
beta_price_budget,avg_dist_car,0.04144314113452925,0.007985291186025556
gamma_quality_variety,avg_dist_car,0.039885536645141814,0.010682677654153856
delta_convenience,avg_dist_car,0.04734680061820761,0.002437693375400469
go_shop_threshold_low,avg_dist_car,0.3927771215775533,3.4706691075320726e-151
go_shop_threshold_medium,avg_dist_car,0.1936747684302937,6.580206612323222e-36
go_shop_threshold_high,avg_dist_car,0.009911501282935622,0.5259776840688086
alpha_distance,avg_dist_nocar,-0.01339717033568239,0.39133675657299566
beta_price_budget,avg_dist_nocar,-0.00814161106590677,0.602427586019621
gamma_quality_variety,avg_dist_nocar,0.0021679982069024773,0.8896795538381396
delta_convenience,avg_dist_nocar,0.0021270199928605463,0.8917518053669528
go_shop_threshold_low,avg_dist_nocar,0.007618372197225462,0.6259507498760803
go_shop_threshold_medium,avg_dist_nocar,-0.026780655206907422,0.08657535773178782
go_shop_threshold_high,avg_dist_nocar,0.013593004590647766,0.3844496429294738
alpha_distance,total_trips,0.0044720088582158,0.7747841908798067
beta_price_budget,total_trips,-0.0006534111269684189,0.9666537083424309
gamma_quality_variety,total_trips,-0.011379362554658528,0.46656431589600267
delta_convenience,total_trips,0.008291217913507041,0.5957756347943021
go_shop_threshold_low,total_trips,-0.8671674615786561,0.0
go_shop_threshold_medium,total_trips,-0.5611090444995506,0.0
go_shop_threshold_high,total_trips,-0.011825640750776162,0.4492676911362759
